sec	min	hour	od
0	0	0	-0.0004
30	0.5	0.008333333	-0.0003
61	1.01667	0.016944444	-0.0008
92	1.53333	0.025555556	-0.0014
122	2.03333	0.033888889	-0.0018
152	2.53333	0.042222222	-0.0024
182	3.03333	0.050555556	-0.0029
213	3.55	0.059166667	-0.004
243	4.05	0.0675	-0.0038
669	11.15	0.185833333	0.6017
699	11.65	0.194166667	0.6026
729	12.15	0.2025	0.6008
759	12.65	0.210833333	0.5987
789	13.15	0.219166667	0.6001
819	13.65	0.2275	0.6033
849	14.15	0.235833333	0.5957
880	14.6667	0.244444444	0.597
910	15.1667	0.252777778	0.5997
940	15.6667	0.261111111	0.6007
970	16.1667	0.269444444	0.6003
1000	16.6667	0.277777778	0.5986
1030	17.1667	0.286111111	0.5981
1060	17.6667	0.294444444	0.599
1090	18.1667	0.302777778	0.5977
1120	18.6667	0.311111111	0.6011
1150	19.1667	0.319444444	0.598
1180	19.6667	0.327777778	0.5979
1210	20.1667	0.336111111	0.5986
1240	20.6667	0.344444444	0.5981
1270	21.1667	0.352777778	0.5987
1300	21.6667	0.361111111	0.5954
1330	22.1667	0.369444444	0.599
1360	22.6667	0.377777778	0.5964
1391	23.1833	0.386388889	0.6022
1421	23.6833	0.394722222	0.5986
1451	24.1833	0.403055556	0.6
1481	24.6833	0.411388889	0.5962
1511	25.1833	0.419722222	0.6015
1541	25.6833	0.428055556	0.6023
1571	26.1833	0.436388889	0.6032
1601	26.6833	0.444722222	0.6047
1631	27.1833	0.453055556	0.6016
1661	27.6833	0.461388889	0.6055
1691	28.1833	0.469722222	0.5991
1721	28.6833	0.478055556	0.6003
1751	29.1833	0.486388889	0.6038
1781	29.6833	0.494722222	0.6013
1811	30.1833	0.503055556	0.6041
1842	30.7	0.511666667	0.6015
1872	31.2	0.52	0.6012
1902	31.7	0.528333333	0.6055
1932	32.2	0.536666667	0.6043
1962	32.7	0.545	0.6046
1992	33.2	0.553333333	0.602
2022	33.7	0.561666667	0.6031
2052	34.2	0.57	0.6052
2082	34.7	0.578333333	0.602
2112	35.2	0.586666667	0.6037
2142	35.7	0.595	0.6042
2172	36.2	0.603333333	0.6063
2202	36.7	0.611666667	0.6033
2232	37.2	0.62	0.6048
2262	37.7	0.628333333	0.6084
2292	38.2	0.636666667	0.6084
2323	38.7167	0.645277778	0.6063
2353	39.2167	0.653611111	0.608
2383	39.7167	0.661944444	0.6035
2413	40.2167	0.670277778	0.606
2443	40.7167	0.678611111	0.6071
2473	41.2167	0.686944444	0.608
2503	41.7167	0.695277778	0.609
2533	42.2167	0.703611111	0.6082
2563	42.7167	0.711944444	0.6089
2593	43.2167	0.720277778	0.61
2623	43.7167	0.728611111	0.6098
2653	44.2167	0.736944444	0.6088
2683	44.7167	0.745277778	0.6111
2713	45.2167	0.753611111	0.6126
2743	45.7167	0.761944444	0.6116
2773	46.2167	0.770277778	0.6114
2804	46.7333	0.778888889	0.609
2834	47.2333	0.787222222	0.6102
2864	47.7333	0.795555556	0.6154
2894	48.2333	0.803888889	0.6111
2924	48.7333	0.812222222	0.61
2954	49.2333	0.820555556	0.6112
2984	49.7333	0.828888889	0.6145
3014	50.2333	0.837222222	0.6137
3044	50.7333	0.845555556	0.618
3074	51.2333	0.853888889	0.615
3104	51.7333	0.862222222	0.6186
3134	52.2333	0.870555556	0.6184
3164	52.7333	0.878888889	0.6218
3194	53.2333	0.887222222	0.6146
3224	53.7333	0.895555556	0.619
3254	54.2333	0.903888889	0.618
3284	54.7333	0.912222222	0.6175
3315	55.25	0.920833333	0.6189
3345	55.75	0.929166667	0.619
3375	56.25	0.9375	0.6216
3405	56.75	0.945833333	0.6241
3435	57.25	0.954166667	0.6242
3465	57.75	0.9625	0.6232
3495	58.25	0.970833333	0.6273
3525	58.75	0.979166667	0.6223
3555	59.25	0.9875	0.6256
3585	59.75	0.995833333	0.6243
3615	60.25	1.004166667	0.625
3645	60.75	1.0125	0.6235
3675	61.25	1.020833333	0.6281
3705	61.75	1.029166667	0.6304
3735	62.25	1.0375	0.6262
3765	62.75	1.045833333	0.6251
3795	63.25	1.054166667	0.6277
3825	63.75	1.0625	0.6284
3856	64.2667	1.071111111	0.6303
3886	64.7667	1.079444444	0.6319
3916	65.2667	1.087777778	0.6347
3946	65.7667	1.096111111	0.6293
3976	66.2667	1.104444444	0.6309
4006	66.7667	1.112777778	0.6333
4036	67.2667	1.121111111	0.6356
4066	67.7667	1.129444444	0.6378
4096	68.2667	1.137777778	0.6343
4126	68.7667	1.146111111	0.6344
4156	69.2667	1.154444444	0.6359
4186	69.7667	1.162777778	0.6361
4216	70.2667	1.171111111	0.6369
4246	70.7667	1.179444444	0.6357
4276	71.2667	1.187777778	0.6352
4306	71.7667	1.196111111	0.6371
4336	72.2667	1.204444444	0.6414
4366	72.7667	1.212777778	0.6401
4396	73.2667	1.221111111	0.6447
4427	73.7833	1.229722222	0.643
4457	74.2833	1.238055556	0.6421
4487	74.7833	1.246388889	0.6437
4517	75.2833	1.254722222	0.6402
4547	75.7833	1.263055556	0.6461
4577	76.2833	1.271388889	0.6421
4607	76.7833	1.279722222	0.6453
4637	77.2833	1.288055556	0.6442
4667	77.7833	1.296388889	0.6493
4697	78.2833	1.304722222	0.6486
4727	78.7833	1.313055556	0.6471
4757	79.2833	1.321388889	0.6439
4787	79.7833	1.329722222	0.6472
4817	80.2833	1.338055556	0.6501
4847	80.7833	1.346388889	0.6463
4877	81.2833	1.354722222	0.6513
4907	81.7833	1.363055556	0.6549
4938	82.3	1.371666667	0.6509
4968	82.8	1.38	0.6553
4998	83.3	1.388333333	0.6527
5028	83.8	1.396666667	0.6571
5058	84.3	1.405	0.6559
5088	84.8	1.413333333	0.6581
5118	85.3	1.421666667	0.6557
5148	85.8	1.43	0.6595
5178	86.3	1.438333333	0.6591
5208	86.8	1.446666667	0.6568
5238	87.3	1.455	0.6598
5268	87.8	1.463333333	0.6621
5298	88.3	1.471666667	0.6594
5328	88.8	1.48	0.6626
5359	89.3167	1.488611111	0.6646
5389	89.8167	1.496944444	0.6624
5419	90.3167	1.505277778	0.6632
5449	90.8167	1.513611111	0.666
5479	91.3167	1.521944444	0.6667
5509	91.8167	1.530277778	0.6631
5539	92.3167	1.538611111	0.669
5570	92.8333	1.547222222	0.6669
5600	93.3333	1.555555556	0.6677
5630	93.8333	1.563888889	0.6699
5660	94.3333	1.572222222	0.6706
5690	94.8333	1.580555556	0.6732
5720	95.3333	1.588888889	0.6739
5750	95.8333	1.597222222	0.6706
5780	96.3333	1.605555556	0.6718
5810	96.8333	1.613888889	0.6702
5840	97.3333	1.622222222	0.6739
5870	97.8333	1.630555556	0.6773
5900	98.3333	1.638888889	0.6761
5930	98.8333	1.647222222	0.6777
5960	99.3333	1.655555556	0.6764
5990	99.8333	1.663888889	0.6804
6020	100.333	1.672222222	0.6774
6051	100.85	1.680833333	0.6779
6081	101.35	1.689166667	0.6791
6112	101.867	1.697777778	0.68
6143	102.383	1.706388889	0.6822
6174	102.9	1.715	0.6811
6204	103.4	1.723333333	0.68
6234	103.9	1.731666667	0.6837
6264	104.4	1.74	0.684
6294	104.9	1.748333333	0.6864
6324	105.4	1.756666667	0.6852
6354	105.9	1.765	0.6871
6384	106.4	1.773333333	0.6866
6414	106.9	1.781666667	0.6849
6444	107.4	1.79	0.6869
6475	107.917	1.798611111	0.6896
6505	108.417	1.806944444	0.6878
6535	108.917	1.815277778	0.6888
6565	109.417	1.823611111	0.6916
6595	109.917	1.831944444	0.693
6625	110.417	1.840277778	0.6883
6655	110.917	1.848611111	0.6929
6686	111.433	1.857222222	0.6925
6716	111.933	1.865555556	0.6941
6746	112.433	1.873888889	0.6975
6776	112.933	1.882222222	0.6961
6806	113.433	1.890555556	0.6958
6836	113.933	1.898888889	0.6964
6867	114.45	1.9075	0.6992
6897	114.95	1.915833333	0.6967
6927	115.45	1.924166667	0.701
6957	115.95	1.9325	0.7011
6987	116.45	1.940833333	0.6993
7017	116.95	1.949166667	0.7011
7047	117.45	1.9575	0.7011
7077	117.95	1.965833333	0.7041
7107	118.45	1.974166667	0.6999
7137	118.95	1.9825	0.7039
7167	119.45	1.990833333	0.7056
7197	119.95	1.999166667	0.7046
7227	120.45	2.0075	0.7094
7258	120.967	2.016111111	0.7066
7288	121.467	2.024444444	0.7108
7318	121.967	2.032777778	0.7111
7348	122.467	2.041111111	0.7112
7378	122.967	2.049444444	0.713
7408	123.467	2.057777778	0.7123
7438	123.967	2.066111111	0.713
7468	124.467	2.074444444	0.7116
7498	124.967	2.082777778	0.715
7528	125.467	2.091111111	0.7184
7558	125.967	2.099444444	0.7184
7588	126.467	2.107777778	0.7246
7618	126.967	2.116111111	0.7182
7648	127.467	2.124444444	0.7192
7678	127.967	2.132777778	0.7192
7708	128.467	2.141111111	0.7171
7739	128.983	2.149722222	0.7245
7769	129.483	2.158055556	0.7181
7799	129.983	2.166388889	0.7229
7829	130.483	2.174722222	0.7224
7859	130.983	2.183055556	0.725
7889	131.483	2.191388889	0.7224
7919	131.983	2.199722222	0.7279
7949	132.483	2.208055556	0.7257
7979	132.983	2.216388889	0.7281
8009	133.483	2.224722222	0.7302
8039	133.983	2.233055556	0.7309
8069	134.483	2.241388889	0.7279
8099	134.983	2.249722222	0.7295
8129	135.483	2.258055556	0.7322
8159	135.983	2.266388889	0.7336
8189	136.483	2.274722222	0.7382
8219	136.983	2.283055556	0.7349
8249	137.483	2.291388889	0.7322
8280	138	2.3	0.733
8310	138.5	2.308333333	0.7356
8340	139	2.316666667	0.7373
8370	139.5	2.325	0.7358
8400	140	2.333333333	0.7389
8430	140.5	2.341666667	0.7383
8460	141	2.35	0.7423
8490	141.5	2.358333333	0.742
8520	142	2.366666667	0.7406
8550	142.5	2.375	0.7402
8581	143.017	2.383611111	0.743
8611	143.517	2.391944444	0.7413
8641	144.017	2.400277778	0.7438
8671	144.517	2.408611111	0.7463
8701	145.017	2.416944444	0.7442
8731	145.517	2.425277778	0.7488
8761	146.017	2.433611111	0.7494
8791	146.517	2.441944444	0.7444
8821	147.017	2.450277778	0.7511
8852	147.533	2.458888889	0.7503
8882	148.033	2.467222222	0.7531
8912	148.533	2.475555556	0.7514
8942	149.033	2.483888889	0.7521
8972	149.533	2.492222222	0.7549
9002	150.033	2.500555556	0.7556
9032	150.533	2.508888889	0.7589
9062	151.033	2.517222222	0.7564
9092	151.533	2.525555556	0.7598
9122	152.033	2.533888889	0.7617
9152	152.533	2.542222222	0.7629
9182	153.033	2.550555556	0.7601
9212	153.533	2.558888889	0.763
9242	154.033	2.567222222	0.7656
9272	154.533	2.575555556	0.767
9302	155.033	2.583888889	0.7679
