T0	OD0	T1	OD1	T2	OD2	T3	OD3	T4	OD4	T5	OD5	T6	OD6	T7	OD7	T8	OD8	T9	OD9	T10	OD10	T11	OD11	T12	OD12	T13	OD13	T14	OD14	T15	OD15	T16	OD16	T17	OD17	T18	OD18	T19	OD19	T20	OD20	T21	OD21	T22	OD22	T23	OD23	T24	OD24	T25	OD25	T26	OD26
11.15	0.6017	794.767	0.6011	1511.17	0.6046	2226.72	0.607	2948.9	0.6006	3662.57	0.6067	4382.48	0.6008	5103.6	0.6036	5817.35	0.6015	6538.45	0.6016	7285.13	0.604	8000.57	0.6047	8716.85	0.6055	9426.05	0.6075	10141.6	0.6004	10859.8	0.6036	11581.4	0.6023	12299.5	0.6054	13028.4	0.6023	13738	0.6003	14445.5	0.6027	15176.6	0.6045	15909.6	0.6061	16615.5	0.6004	17341.5	0.6043	18061	0.6058	18787.6	0.6016
11.65	0.6026	795.267	0.6047	1511.67	0.6097	2227.22	0.6039	2949.4	0.6073	3663.07	0.6086	4382.98	0.6053	5104.1	0.6034	5817.85	0.6055	6538.95	0.6046	7285.63	0.6123	8001.07	0.6055	8717.35	0.6081	9426.57	0.6086	10142.1	0.6068	10860.3	0.6105	11581.9	0.6127	12300	0.6081	13028.9	0.6073	13738.5	0.6043	14446	0.6057	15177.1	0.609	15910.1	0.6114	16616	0.604	17342	0.6136	18061.5	0.6078	18788.1	0.6062
12.15	0.6008	795.767	0.6057	1512.17	0.6122	2227.72	0.6085	2949.9	0.6136	3663.57	0.6157	4383.48	0.606	5104.6	0.6055	5818.35	0.6138	6539.45	0.6083	7286.13	0.6193	8001.58	0.6164	8717.85	0.615	9427.07	0.6142	10142.6	0.6146	10860.8	0.6175	11582.4	0.6143	12300.5	0.612	13029.4	0.6142	13739	0.6104	14446.5	0.61	15177.6	0.6123	15910.6	0.6156	16616.5	0.6071	17342.5	0.614	18062	0.6133	18788.6	0.6088
12.65	0.5987	796.267	0.6106	1512.67	0.6155	2228.22	0.6177	2950.4	0.6159	3664.07	0.6182	4384	0.61	5105.1	0.6143	5818.85	0.62	6539.95	0.6135	7286.63	0.6202	8002.08	0.6203	8718.35	0.6197	9427.57	0.6224	10143.1	0.6187	10861.3	0.6188	11582.9	0.6216	12301	0.6201	13029.9	0.6226	13739.5	0.6162	14447	0.6148	15178.1	0.6169	15911.1	0.6207	16617	0.612	17343	0.6201	18062.5	0.6172	18789.1	0.615
13.15	0.6001	796.767	0.6149	1513.17	0.6214	2228.72	0.6179	2950.92	0.6121	3664.57	0.6236	4384.5	0.6212	5105.6	0.6177	5819.35	0.6223	6540.47	0.6199	7287.13	0.6242	8002.58	0.6259	8718.85	0.6269	9428.07	0.6258	10143.6	0.628	10861.8	0.6245	11583.4	0.6294	12301.5	0.6279	13030.4	0.6278	13740	0.623	14447.5	0.6224	15178.6	0.6195	15911.6	0.6261	16617.5	0.6177	17343.5	0.6252	18063	0.6213	18789.6	0.6164
13.65	0.6033	797.267	0.6187	1513.67	0.6228	2229.22	0.6194	2951.42	0.6189	3665.08	0.6292	4385	0.6201	5106.1	0.6222	5819.85	0.633	6540.97	0.6259	7287.63	0.6313	8003.08	0.6333	8719.35	0.6303	9428.57	0.6324	10144.1	0.633	10862.3	0.6321	11584	0.6376	12302	0.6269	13030.9	0.6279	13740.5	0.6266	14448	0.6259	15179.1	0.6238	15912.1	0.6318	16618	0.6232	17344	0.6302	18063.5	0.6273	18790.1	0.6212
14.15	0.5957	797.767	0.6188	1514.17	0.6241	2229.72	0.619	2951.92	0.6202	3665.58	0.632	4385.5	0.6261	5106.6	0.6305	5820.35	0.6386	6541.47	0.6291	7288.13	0.6344	8003.58	0.6392	8719.85	0.6374	9429.07	0.6387	10144.6	0.6369	10862.8	0.6348	11584.5	0.6405	12302.5	0.6356	13031.4	0.6369	13741	0.6277	14448.5	0.6305	15179.6	0.6268	15912.6	0.6343	16618.5	0.6246	17344.5	0.6343	18064	0.6308	18790.6	0.6272
14.6667	0.597	798.267	0.6222	1514.67	0.6288	2230.22	0.6241	2952.42	0.6271	3666.08	0.6373	4386	0.6323	5107.1	0.6339	5820.85	0.6381	6541.97	0.6362	7288.63	0.641	8004.08	0.6414	8720.35	0.64	9429.57	0.645	10145.1	0.6441	10863.3	0.642	11585	0.6443	12303	0.6399	13031.9	0.6461	13741.5	0.6377	14449	0.6321	15180.1	0.6319	15913.1	0.6436	16619	0.632	17345	0.6366	18064.5	0.6367	18791.1	0.6295
15.1667	0.5997	798.767	0.6207	1515.18	0.6333	2230.72	0.632	2952.92	0.6325	3666.58	0.6412	4386.5	0.6327	5107.6	0.6382	5821.35	0.6479	6542.47	0.6409	7289.13	0.6462	8004.58	0.6465	8720.85	0.6453	9430.07	0.648	10145.6	0.6445	10863.8	0.65	11585.5	0.6487	12303.5	0.6472	13032.4	0.6507	13742	0.642	14449.5	0.6366	15180.6	0.6383	15913.6	0.6462	16619.5	0.6364	17345.5	0.6428	18065	0.6422	18791.6	0.636
15.6667	0.6007	799.267	0.6302	1515.68	0.6355	2231.22	0.6351	2953.42	0.6326	3667.08	0.6451	4387	0.6388	5108.1	0.6458	5821.87	0.6492	6542.97	0.6433	7289.63	0.6497	8005.08	0.6496	8721.35	0.6532	9430.57	0.6523	10146.1	0.6575	10864.3	0.651	11586	0.6554	12304	0.6526	13032.9	0.6554	13742.5	0.6479	14450	0.6426	15181.1	0.6435	15914.1	0.6538	16620	0.6422	17346	0.6495	18065.5	0.6457	18792.1	0.6396
