culturing_time	sample	count	coverage	frequency	position	region	region_barplot	replicate	term
0	0	1	1814	0.000551268	2446	other	other	R1	short
12	1	1	3331	0.00030021	2953	other	other	R1	short
12	1	1	3385	0.000295421	3027	loop	3027	R1	short
12	1	2	3376	0.000592417	3030	loop	3030	R1	short
12	1	2	3367	0.000594001	3031	loop	3031	R1	short
12	1	1	3369	0.000296824	3032	loop	3032	R1	short
12	1	1	3349	0.000298597	3033	loop	3033	R1	short
12	1	1	3273	0.00030553	3118	loop	3118	R1	short
24	2	5	2007	0.002491281	3033	loop	3033	R1	short
24	2	4	1966	0.002034588	3118	loop	3118	R1	short
24	2	1	1835	0.000544959	3205	other	other	R1	short
36	3	2	2119	0.000943841	1287	other	other	R1	short
36	3	1	2772	0.00036075	3027	loop	3027	R1	short
36	3	1	2764	0.000361795	3029	loop	3029	R1	short
36	3	2	2770	0.000722022	3030	loop	3030	R1	short
36	3	1	2763	0.000361925	3031	loop	3031	R1	short
36	3	4	2750	0.001454545	3032	loop	3032	R1	short
36	3	9	2742	0.003282276	3033	loop	3033	R1	short
36	3	1	2735	0.000365631	3034	loop	3034	R1	short
36	3	1	2740	0.000364964	3035	loop	3035	R1	short
36	3	7	2676	0.002615845	3118	loop	3118	R1	short
36	3	1	2740	0.000364964	3129	other	other	R1	short
36	3	1	2484	0.000402576	3714	other	other	R1	short
48	4	1	7439	0.000134427	144	other	other	R1	short
48	4	1	7729	0.000129383	2428	other	other	R1	short
48	4	1	7749	0.000129049	2437	other	other	R1	short
48	4	1	8572	0.000116659	2935	other	other	R1	short
48	4	1	8623	0.000115969	2978	other	other	R1	short
48	4	2	8539	0.000234219	3005	other	other	R1	short
48	4	1	8606	0.000116198	3027	loop	3027	R1	short
48	4	1	8580	0.00011655	3028	loop	3028	R1	short
48	4	5	8575	0.00058309	3029	loop	3029	R1	short
48	4	7	8586	0.000815281	3030	loop	3030	R1	short
48	4	10	8571	0.001166725	3031	loop	3031	R1	short
48	4	23	8569	0.002684094	3032	loop	3032	R1	short
48	4	38	8527	0.004456433	3033	loop	3033	R1	short
48	4	4	8526	0.000469153	3035	loop	3035	R1	short
48	4	1	8386	0.000119246	3093	other	other	R1	short
48	4	37	8464	0.004371456	3118	loop	3118	R1	short
60	5	1	8451	0.000118329	1263	other	other	R1	short
60	5	1	9112	0.000109745	1602	other	other	R1	short
60	5	1	9512	0.00010513	2233	other	other	R1	short
60	5	1	9483	0.000105452	2422	other	other	R1	short
60	5	1	10889	9.18E-05	2961	other	other	R1	short
60	5	2	10983	0.0001821	2978	other	other	R1	short
60	5	2	10813	0.000184963	3005	other	other	R1	short
60	5	1	10873	9.20E-05	3027	loop	3027	R1	short
60	5	17	10824	0.001570584	3029	loop	3029	R1	short
60	5	11	10826	0.001016072	3030	loop	3030	R1	short
60	5	11	10831	0.001015603	3031	loop	3031	R1	short
60	5	30	10815	0.002773925	3032	loop	3032	R1	short
60	5	79	10786	0.007324309	3033	loop	3033	R1	short
60	5	5	10758	0.00046477	3034	loop	3034	R1	short
60	5	4	10784	0.00037092	3035	loop	3035	R1	short
60	5	3	10571	0.000283795	3093	other	other	R1	short
60	5	1	10480	9.54E-05	3106	other	other	R1	short
60	5	54	10674	0.005059022	3118	loop	3118	R1	short
60	5	1	10247	9.76E-05	3199	other	other	R1	short
60	5	1	10329	9.68E-05	3244	other	other	R1	short
60	5	1	9865	0.000101368	3486	other	other	R1	short
60	5	1	9047	0.000110534	3853	other	other	R1	short
60	5	1	9474	0.000105552	4313	other	other	R1	short
60	5	1	9609	0.000104069	4319	other	other	R1	short
0	0	1	3763	0.000265745	784	other	other	R2	short
0	0	1	4156	0.000240616	1734	other	other	R2	short
0	0	1	4623	0.00021631	2116	other	other	R2	short
0	0	1	4264	0.000234522	3634	other	other	R2	short
12	1	1	5322	0.000187899	51	other	other	R2	short
12	1	1	4793	0.000208638	1008	other	other	R2	short
12	1	1	5310	0.000188324	1700	other	other	R2	short
12	1	1	5452	0.000183419	1848	other	other	R2	short
12	1	1	6380	0.00015674	2813	other	other	R2	short
12	1	1	6359	0.000157257	2846	other	other	R2	short
12	1	2	6286	0.000318167	3029	loop	3029	R2	short
12	1	3	6243	0.000480538	3033	loop	3033	R2	short
12	1	1	6230	0.000160514	3035	loop	3035	R2	short
12	1	1	6106	0.000163773	3118	loop	3118	R2	short
12	1	1	6087	0.000164285	3119	other	other	R2	short
12	1	1	5430	0.000184162	3755	other	other	R2	short
12	1	1	5299	0.000188715	3873	other	other	R2	short
24	2	1	7169	0.000139489	582	other	other	R2	short
24	2	1	7759	0.000128883	1016	other	other	R2	short
